pol_tlumaczenie,hiszp_bezokol,yo,tu,el/ella,nosotros/as,vosotros/as,ellos/ellas,w_bazie
chciec,querer,quiero ,quieres,quiere,queremos,quereis,quieren,1
moc,poder,puedo,puedes,puede,podemos,podeis,pueden,0
jesc,comer,como,comes,come,comemos,comeis,comen,0
pic,beber,bebo,bebes,bebe,bebemos,bebeis,beben,0
plywac,nadar,nado,nadas,nada,nadamos,nadais,nadan,0
spiewac,cantar,canto,cantas,canta,cantamos,cantais,cantan,0
potrzebowac,necesitar,necesito,necesitas,necesita,necesitamos,necesitais,necesitan,0
isc/jechac,ir,voy,vas,va,vamos,vais,van,0
robic,hacer,hago,haces,hace,hacemos,haceis,hacen,0
wiedziec/umiec,saber,se,sabes,sabe,sabemos,sabeis,saben,0
miec,tener,tengo,tienes,tiene,tenemos,teneis,tienen,0
musiec,tener que,tengo que,tienes que,tiene que,tenemos que,teneis que,tienen que,0
widziec,ver,veo,ves,ve,vemos,veis,ven,0
powiedziec/mowic,decir,digo,dices,dice,decimos,decis,dicen,0
sluchac,escuchar,escucho,escuchas,escucha,escuchamos,escuchais,escuchan,0
byc nr1,ser,soy,eres,es,somos,sois,son,0
byc nr2,estar,estoy,estas,esta,estamos,estais,estan,0
byc nr3,haber,hay,hay,hay,hay,hay,hay,0
sadzic/wierzyc,creer,creo,crees,cree,creemos,creeis,creen,0
dawac,dar,doy,das,da,damos,dais,dan,0
przygotowywac,preparar,preparo,preparas,prepara,preparamos,preparais,preparan,0
kupowac ,comprar,compro,compras,compra,compramos,comprais,compran,0
zyc/mieszkac,vivir,vivo,vives,vive,vivimos,vivis,viven,0
probowac,intentar,intento,intentas,intenta,intentamos,intentais,intentan,0
wracac,volver,vuelvo,vuelves,vuelve,volvemos,volveis,vuelven,0
pracowac,trabajar,trabajo,trabajas,trabaja,trabajamos,trabajais,trabajan,0
rozmawiac,hablar,hablo,hablas,habla,hablamos,hablais,hablan,0
podrozowac,viajar,viajo,viajas,viaja,viajamos,viajais,viajan,0
tanczyc,bailar,bailo,bailas,baila,bailamos,bailais,bailan,0
myslec,pensar,pienso,piensas,piensa,pensamos,pensais,piensan,0
wolec,preferir,prefiero,prefieres,prefiere,preferimos,preferis,prefieren,0
pytac,preguntar,pregunto,preguntas,pregunta,preguntamos,preguntais,preguntan,0
zaczynac,empezar a,empiezo a,empiezas a,empieza a,empezamos a,empezais a,empiezan a,0
znac/poznawac,conocer,conozco,conoces,conoce,conocemos,conoceis,conocen,0
spotykac sie z kims,quedar,quedo,quedas,queda,quedamos,quedais,quedan,0
pisac,escribir,escribo,escribes,escribe,escribimos,escribis,escriben,0
prosic,pedir,pido,pides,pide,pedimos,pedis,piden,0
tlumaczyc,explicar,explico,explicas,explica,explicamos,explicais,explican,0
przybywac,llegar,llego,llegas,llega,llegamos,llegais,llegan,0
czuc sie,sentirse,me siento,te sientes,se sientes,nos sentimos,os sentis,se sienten,0
otwierac,abrir,abro,abres,abre,abrimos,abris,abren,0
rozumiec,entender,entiendo,entiendes,entiende,entendemos,entendeis,entienden,0
klamac ,mentir,miento,mientes,miente,mentimos,mentis,mienten,0
odpowiadac,responder,respondo,respondes,responde,respondemos,respondeis,responden,0
dostawac,recibir,recibo,recibes,recibe,recibimos,recibis,reciben,0
nauczyc sie,aprender,aprendo,aprendes,aprende,aprendemos,aprendeis,aprenden,0
tracic/gubic,perder,pierdo,pierdes,pierde,perdemos,perdeis,pierden,0
